region,Region_Sales
World,3.97584449E8
China,1.73375628E8
Europe,9.4939403E7
USA,6.271454819999981E7
Rest of the world,5.3001585E7
India,1.1179396900000095E7
EU27,8944714.0
Germany,3012826.0
France,1666650.0
United Kingdom,1659853.0
Norway,879813.0
Netherlands,798920.200000048
Sweden,706166.0
Korea,676352.0
Japan,627730.0
Canada,600846.0
Italy,511195.0
Belgium,479365.0
Spain,384977.0
Switzerland,287652.0
Denmark,270331.0
Austria,221539.0
Australia,184404.0
Portugal,180061.0
Israel,151674.001
Finland,149659.0
New Zealand,101935.0
Brazil,94760.0
Poland,91933.0
Ireland,88570.0
Turkiye,82638.0
United Arab Emirates,52804.0
Iceland,50337.0
Luxembourg,42100.0
Hungary,42035.0
Mexico,39610.0
Romania,39488.0
Greece,35644.0
Czech Republic,34300.0
Colombia,16023.0
Slovenia,13363.0
Slovakia,13351.0
Costa Rica,8831.0
Croatia,7557.0
Lithuania,6673.0
Latvia,4687.0
Bulgaria,4623.0
Estonia,4585.0
Chile,3877.0
South Africa,3463.0
Cyprus,2260.0
Seychelles,338.0
